source,fiscal_year,technology,capacity_addition_mw,capacity_addition_gw,retrieved_at_utc,source_url
MNRE year-wise achievement,2014,Total RE,35849.59,35.8496,2026-05-28T01:50:54+00:00,https://mnre.gov.in/en/year-wise-achievement/
MNRE year-wise achievement,2014-15,Total RE,4100.5,4.1005,2026-05-28T01:50:54+00:00,https://mnre.gov.in/en/year-wise-achievement/
MNRE year-wise achievement,2015-16,Total RE,7141.3,7.1413,2026-05-28T01:50:54+00:00,https://mnre.gov.in/en/year-wise-achievement/
MNRE year-wise achievement,2016-17,Total RE,11466.8,11.4668,2026-05-28T01:50:54+00:00,https://mnre.gov.in/en/year-wise-achievement/
MNRE year-wise achievement,2017-18,Total RE,12093.24,12.0932,2026-05-28T01:50:54+00:00,https://mnre.gov.in/en/year-wise-achievement/
MNRE year-wise achievement,2018-19,Total RE,8760.56,8.7606,2026-05-28T01:50:54+00:00,https://mnre.gov.in/en/year-wise-achievement/
MNRE year-wise achievement,2019-20,Total RE,8843.31,8.8433,2026-05-28T01:50:54+00:00,https://mnre.gov.in/en/year-wise-achievement/
MNRE year-wise achievement,2020-21,Total RE,7548.11,7.5481,2026-05-28T01:50:54+00:00,https://mnre.gov.in/en/year-wise-achievement/
MNRE year-wise achievement,2021-22,Total RE,14081.97,14.082,2026-05-28T01:50:54+00:00,https://mnre.gov.in/en/year-wise-achievement/
MNRE year-wise achievement,2022-23,Total RE,15274.43,15.2744,2026-05-28T01:50:54+00:00,https://mnre.gov.in/en/year-wise-achievement/
MNRE year-wise achievement,2023-24,Total RE,18484.68,18.4847,2026-05-28T01:50:54+00:00,https://mnre.gov.in/en/year-wise-achievement/
MNRE year-wise achievement,2024-25,Total RE,28723.65,28.7236,2026-05-28T01:50:54+00:00,https://mnre.gov.in/en/year-wise-achievement/
MNRE year-wise achievement,2026,Total RE,227590.59,227.5906,2026-05-28T01:50:54+00:00,https://mnre.gov.in/en/year-wise-achievement/
MNRE year-wise achievement,2026-27-1st-apr-2026-31st-march-2027,Total RE,4316.84,4.3168,2026-05-28T01:50:54+00:00,https://mnre.gov.in/en/year-wise-achievement/
